# UVIS G280 Simulation, broadband = 200.0-800.0nm, spectroscopic in 10.0nm bins
# Credit: H.R. Wakeford, Citation: Wakeford et al. (2020, AJ)
# H23_ETC with an exposure time of 237 and 1 orbits in transit/eclipse for 4 transits/eclipses
# Wavelength (nm), bin size (nm), transit/eclipse precision (ppm), program precision (ppm)
       500, 300.00000,  77.24300,  38.62150
       205,   5.08475,4700.28308,2350.14154
       215,   5.08475,1585.40535, 792.70267
       225,   5.08475,1363.61073, 681.80536
       236,   5.08475,1580.19495, 790.09747
       246,   5.08475,1203.97021, 601.98510
       256,   5.08475,1373.23129, 686.61565
       266,   5.08475, 826.79393, 413.39697
       276,   5.08475,1136.28881, 568.14440
       286,   5.08475, 735.53873, 367.76936
       297,   5.08475, 623.58393, 311.79196
       307,   5.08475, 579.85973, 289.92986
       317,   5.08475, 586.18420, 293.09210
       327,   5.08475, 519.40238, 259.70119
       337,   5.08475, 569.90929, 284.95464
       347,   5.08475, 549.06198, 274.53099
       358,   5.08475, 577.30120, 288.65060
       368,   5.08475, 535.45268, 267.72634
       378,   5.08475, 559.44899, 279.72449
       388,   5.08475, 552.51655, 276.25827
       398,   5.08475, 513.08100, 256.54050
       408,   5.08475, 425.54501, 212.77251
       419,   5.08475, 451.17057, 225.58528
       429,   5.08475, 485.87332, 242.93666
       439,   5.08475, 432.97752, 216.48876
       449,   5.08475, 445.87397, 222.93699
       459,   5.08475, 443.07598, 221.53799
       469,   5.08475, 445.54725, 222.77362
       480,   5.08475, 417.98657, 208.99328
       490,   5.08475, 468.56580, 234.28290
       500,   5.08475, 474.14830, 237.07415
       510,   5.08475, 478.73639, 239.36820
       520,   5.08475, 471.80940, 235.90470
       531,   5.08475, 504.92881, 252.46440
       541,   5.08475, 507.36261, 253.68131
       551,   5.08475, 512.16297, 256.08148
       561,   5.08475, 488.30419, 244.15209
       571,   5.08475, 529.73340, 264.86670
       581,   5.08475, 537.48218, 268.74109
       592,   5.08475, 517.10152, 258.55076
       602,   5.08475, 563.35570, 281.67785
       612,   5.08475, 580.65391, 290.32696
       622,   5.08475, 592.64111, 296.32056
       632,   5.08475, 565.26412, 282.63206
       642,   5.08475, 620.85580, 310.42790
       653,   5.08475, 644.08314, 322.04157
       663,   5.08475, 652.13940, 326.06970
       673,   5.08475, 623.85326, 311.92663
       683,   5.08475, 687.79793, 343.89896
       693,   5.08475, 706.04850, 353.02425
       703,   5.08475, 728.69344, 364.34672
       714,   5.08475, 707.39333, 353.69667
       724,   5.08475, 784.28116, 392.14058
       734,   5.08475, 811.43281, 405.71641
       744,   5.08475, 843.86233, 421.93116
       754,   5.08475, 817.77330, 408.88665
       764,   5.08475, 919.24346, 459.62173
       775,   5.08475, 967.58689, 483.79345
       785,   5.08475, 954.26972, 477.13486
       795,   5.08475,1079.55234, 539.77617
