# version = 29.1.1, Request ID = WFC3UVIS.sp.1486054
# HAT-P-23, Vmag = 11.94, exptime = 190s, Teff = 6000K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1850.0000,45,2.5745,97.077,0,99.651
1864.0000,45,2.5745,97.077,0,99.651
1878.0000,45,2.5745,97.077,0,99.651
1892.0000,45,2.5745,97.077,0,99.651
1906.0000,45,2.5745,97.077,0,99.651
1920.0000,45,2.5745,97.077,0,99.651
1934.0000,45,2.5745,97.077,0,99.651
1948.0000,45,2.5745,97.077,0,99.651
1962.0000,45,2.5745,97.077,0,99.651
1976.0000,45,2.5745,97.077,0,99.651
1990.0000,45,2.5745,97.077,0,99.651
2004.0000,45,2.5745,97.077,337.1,436.75
2018.0000,45,2.5745,97.077,426.43,526.08
2032.0000,45,2.5745,97.077,493.33,592.98
2046.0000,45,2.5745,97.077,638.31,737.97
2060.0000,45,2.5745,97.077,641.21,740.87
2074.0000,45,2.5745,97.077,782.41,882.06
2088.0000,45,2.5745,97.077,1207.6,1307.3
2102.0000,45,2.5745,97.077,2538.3,2637.9
2116.0000,45,2.5745,97.077,3882.4,3982
2130.0000,45,2.5745,97.077,3637.4,3737.1
2144.0000,45,2.5745,97.077,5045.1,5144.8
2158.0000,45,2.5745,97.077,5246.2,5345.8
2172.0000,45,2.5745,97.077,5010.1,5109.8
2186.0000,45,2.5745,97.077,7153.1,7252.8
2200.0000,45,2.5745,97.077,7272.4,7372
2214.0000,45,2.5745,97.077,5667.6,5767.3
2228.0000,45,2.5745,97.077,7778.5,7878.2
2242.0000,45,2.5745,97.077,9430.7,9530.4
2256.0000,45,2.5745,97.077,6722.2,6821.8
2270.0000,45,2.5745,97.077,6352.6,6452.3
2284.0000,45,2.5745,97.077,9102.6,9202.3
2298.0000,45,2.5745,97.077,8725.6,8825.3
2312.0000,45,2.5745,97.077,9248.6,9348.3
2326.0000,45,2.5745,97.077,7510.5,7610.1
2340.0000,45,2.5745,97.077,4479.7,4579.3
2354.0000,45,2.5745,97.077,6474.2,6573.8
2368.0000,45,2.5745,97.077,4740.6,4840.2
2382.0000,45,2.5745,97.077,3850.9,3950.5
2396.0000,45,2.5745,97.077,3743.3,3842.9
2410.0000,45,2.5745,97.077,4487,4586.6
2424.0000,45,2.5745,97.077,8872.4,8972
2438.0000,45,2.5745,97.077,10836,10936
2452.0000,45,2.5745,97.077,12931,13030
2466.0000,45,2.5745,97.077,10872,10972
2480.0000,45,2.5745,97.077,6947.1,7046.7
2494.0000,45,2.5745,97.077,6576.5,6676.2
2508.0000,45,2.5745,97.077,7465.2,7564.8
2522.0000,45,2.5745,97.077,3057.6,3157.2
2536.0000,45,2.5745,97.077,3868.8,3968.5
2550.0000,45,2.5745,97.077,7521.3,7620.9
2564.0000,45,2.5745,97.077,9593.8,9693.4
2578.0000,45,2.5745,97.077,11775,11875
2592.0000,45,2.5745,97.077,9864.8,9964.5
2606.0000,45,2.5745,97.077,7347.6,7447.2
2620.0000,45,2.5745,97.077,8064.9,8164.5
2634.0000,45,2.5745,97.077,17440,17539
2648.0000,45,2.5745,97.077,28147,28246
2662.0000,45,2.5745,97.077,25130,25230
2676.0000,45,2.5745,97.077,23582,23682
2690.0000,45,2.5745,97.077,22677,22776
2704.0000,45,2.5745,97.077,21246,21346
2718.0000,45,2.5745,97.077,14938,15038
2732.0000,45,2.5745,97.077,13889,13989
2746.0000,45,2.5745,97.077,9395.3,9494.9
2760.0000,45,2.5745,97.077,13260,13359
2774.0000,45,2.5745,97.077,14977,15077
2788.0000,45,2.5745,97.077,6743.8,6843.4
2802.0000,45,2.5745,97.077,4247.1,4346.8
2816.0000,45,2.5745,97.077,14646,14746
2830.0000,45,2.5745,97.077,21869,21968
2844.0000,45,2.5745,97.077,13881,13981
2858.0000,45,2.5745,97.077,11098,11198
2872.0000,45,2.5745,97.077,24694,24794
2886.0000,45,2.5745,97.077,26191,26291
2900.0000,45,2.5745,97.077,33473,33572
2914.0000,45,2.5745,97.077,38985,39085
2928.0000,45,2.5745,97.077,36194,36293
