# UVIS G280 Simulation, broadband = 200.0-800.0nm, spectroscopic in 10.0nm bins
# Credit: H.R. Wakeford, Citation: Wakeford et al. (2020, AJ)
# H23_ETC_237s with an exposure time of 237 and 1 orbits in transit/eclipse for 4 transits/eclipses
# Wavelength (nm), bin size (nm), transit/eclipse precision (ppm), program precision (ppm)
       500, 300.00000,  69.16106,  34.58053
       205,   5.08475,4208.45454,2104.22727
       215,   5.08475,1419.52400, 709.76200
       225,   5.08475,1220.93569, 610.46785
       236,   5.08475,1414.86880, 707.43440
       246,   5.08475,1078.00438, 539.00219
       256,   5.08475,1229.54919, 614.77460
       266,   5.08475, 740.29000, 370.14500
       276,   5.08475,1017.39982, 508.69991
       286,   5.08475, 658.57636, 329.28818
       297,   5.08475, 558.33868, 279.16934
       307,   5.08475, 519.18883, 259.59441
       317,   5.08475, 524.85015, 262.42507
       327,   5.08475, 465.05692, 232.52846
       337,   5.08475, 510.28046, 255.14023
       347,   5.08475, 491.61333, 245.80666
       358,   5.08475, 516.89907, 258.44954
       368,   5.08475, 479.42803, 239.71402
       378,   5.08475, 500.91312, 250.45656
       388,   5.08475, 494.70652, 247.35326
       398,   5.08475, 459.39663, 229.69832
       408,   5.08475, 381.02026, 190.51013
       419,   5.08475, 403.96474, 201.98237
       429,   5.08475, 435.03639, 217.51819
       439,   5.08475, 387.67524, 193.83762
       449,   5.08475, 399.22212, 199.61106
       459,   5.08475, 396.71702, 198.35851
       469,   5.08475, 398.93007, 199.46503
       480,   5.08475, 374.25265, 187.12633
       490,   5.08475, 419.53972, 209.76986
       500,   5.08475, 424.53794, 212.26897
       510,   5.08475, 428.64562, 214.32281
       520,   5.08475, 422.44438, 211.22219
       531,   5.08475, 452.09777, 226.04888
       541,   5.08475, 454.27663, 227.13831
       551,   5.08475, 458.57522, 229.28761
       561,   5.08475, 437.21179, 218.60590
       571,   5.08475, 474.30774, 237.15387
       581,   5.08475, 481.24444, 240.62222
       592,   5.08475, 462.99720, 231.49860
       602,   5.08475, 504.41145, 252.20573
       612,   5.08475, 519.89984, 259.94992
       622,   5.08475, 530.63355, 265.31677
       632,   5.08475, 506.12058, 253.06029
       642,   5.08475, 555.89537, 277.94769
       653,   5.08475, 576.69225, 288.34613
       663,   5.08475, 583.90539, 291.95270
       673,   5.08475, 558.57990, 279.28995
       683,   5.08475, 615.83197, 307.91598
       693,   5.08475, 632.17617, 316.08809
       703,   5.08475, 652.45441, 326.22721
       714,   5.08475, 633.37967, 316.68984
       724,   5.08475, 702.22226, 351.11113
       734,   5.08475, 726.53048, 363.26524
       744,   5.08475, 755.56636, 377.78318
       754,   5.08475, 732.21473, 366.10736
       764,   5.08475, 823.06618, 411.53309
       775,   5.08475, 866.34818, 433.17409
       785,   5.08475, 854.42938, 427.21469
       795,   5.08475, 966.59648, 483.29824
