# version = 29.1.1, Request ID = WFC3UVIS.sp.1486058
# HAT-P-23, Vmag = 11.94, exptime = 237s, Teff = 6000K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1850.0000,45,3.2113,121.09,0,124.3
1864.0000,45,3.2113,121.09,0,124.3
1878.0000,45,3.2113,121.09,0,124.3
1892.0000,45,3.2113,121.09,0,124.3
1906.0000,45,3.2113,121.09,0,124.3
1920.0000,45,3.2113,121.09,0,124.3
1934.0000,45,3.2113,121.09,0,124.3
1948.0000,45,3.2113,121.09,0,124.3
1962.0000,45,3.2113,121.09,0,124.3
1976.0000,45,3.2113,121.09,0,124.3
1990.0000,45,3.2113,121.09,0,124.3
2004.0000,45,3.2113,121.09,420.49,544.79
2018.0000,45,3.2113,121.09,531.92,656.22
2032.0000,45,3.2113,121.09,615.37,739.67
2046.0000,45,3.2113,121.09,796.21,920.52
2060.0000,45,3.2113,121.09,799.83,924.13
2074.0000,45,3.2113,121.09,975.96,1100.3
2088.0000,45,3.2113,121.09,1506.4,1630.7
2102.0000,45,3.2113,121.09,3166.2,3290.5
2116.0000,45,3.2113,121.09,4842.8,4967.1
2130.0000,45,3.2113,121.09,4537.2,4661.5
2144.0000,45,3.2113,121.09,6293.1,6417.4
2158.0000,45,3.2113,121.09,6543.9,6668.2
2172.0000,45,3.2113,121.09,6249.5,6373.8
2186.0000,45,3.2113,121.09,8922.6,9046.9
2200.0000,45,3.2113,121.09,9071.3,9195.6
2214.0000,45,3.2113,121.09,7069.6,7193.9
2228.0000,45,3.2113,121.09,9702.7,9827
2242.0000,45,3.2113,121.09,11764,11888
2256.0000,45,3.2113,121.09,8385,8509.4
2270.0000,45,3.2113,121.09,7924,8048.3
2284.0000,45,3.2113,121.09,11354,11479
2298.0000,45,3.2113,121.09,10884,11008
2312.0000,45,3.2113,121.09,11536,11661
2326.0000,45,3.2113,121.09,9368.3,9492.6
2340.0000,45,3.2113,121.09,5587.8,5712.1
2354.0000,45,3.2113,121.09,8075.7,8200
2368.0000,45,3.2113,121.09,5913.2,6037.5
2382.0000,45,3.2113,121.09,4803.5,4927.8
2396.0000,45,3.2113,121.09,4669.2,4793.5
2410.0000,45,3.2113,121.09,5596.9,5721.2
2424.0000,45,3.2113,121.09,11067,11191
2438.0000,45,3.2113,121.09,13517,13641
2452.0000,45,3.2113,121.09,16129,16253
2466.0000,45,3.2113,121.09,13561,13686
2480.0000,45,3.2113,121.09,8665.6,8789.9
2494.0000,45,3.2113,121.09,8203.3,8327.6
2508.0000,45,3.2113,121.09,9311.8,9436.1
2522.0000,45,3.2113,121.09,3813.9,3938.2
2536.0000,45,3.2113,121.09,4825.8,4950.1
2550.0000,45,3.2113,121.09,9381.8,9506.1
2564.0000,45,3.2113,121.09,11967,12091
2578.0000,45,3.2113,121.09,14688,14813
2592.0000,45,3.2113,121.09,12305,12429
2606.0000,45,3.2113,121.09,9165.2,9289.5
2620.0000,45,3.2113,121.09,10060,10184
2634.0000,45,3.2113,121.09,21754,21878
2648.0000,45,3.2113,121.09,35109,35234
2662.0000,45,3.2113,121.09,31346,31471
2676.0000,45,3.2113,121.09,29415,29540
2690.0000,45,3.2113,121.09,28286,28411
2704.0000,45,3.2113,121.09,26502,26626
2718.0000,45,3.2113,121.09,18633,18758
2732.0000,45,3.2113,121.09,17325,17449
2746.0000,45,3.2113,121.09,11719,11844
2760.0000,45,3.2113,121.09,16540,16664
2774.0000,45,3.2113,121.09,18682,18806
2788.0000,45,3.2113,121.09,8412,8536.3
2802.0000,45,3.2113,121.09,5297.8,5422.1
2816.0000,45,3.2113,121.09,18269,18393
2830.0000,45,3.2113,121.09,27279,27403
2844.0000,45,3.2113,121.09,17315,17439
2858.0000,45,3.2113,121.09,13844,13968
2872.0000,45,3.2113,121.09,30803,30927
2886.0000,45,3.2113,121.09,32670,32795
2900.0000,45,3.2113,121.09,41753,41877
2914.0000,45,3.2113,121.09,48629,48753
2928.0000,45,3.2113,121.09,45147,45271
2942.0000,45,3.2113,121.09,43666,43790
2956.0000,45,3.2113,121.09,44264,44388
2970.0000,45,3.2113,121.09,46312,46437
2984.0000,45,3.2113,121.09,46375,46499
2998.0000,45,3.2113,121.09,46872,46997
3012.0000,45,3.2113,121.09,48142,48266
3026.0000,45,3.2113,121.09,50121,50245
3040.0000,45,3.2113,121.09,51805,51930
3054.0000,45,3.2113,121.09,53131,53255
3068.0000,45,3.2113,121.09,53837,53961
3082.0000,45,3.2113,121.09,52836,52960
3096.0000,45,3.2113,121.09,53425,53549
3110.0000,45,3.2113,121.09,55824,55948
3124.0000,45,3.2113,121.09,54563,54687
3138.0000,45,3.2113,121.09,52523,52647
3152.0000,45,3.2113,121.09,51296,51420
3166.0000,45,3.2113,121.09,53243,53367
3180.0000,45,3.2113,121.09,50902,51026
3194.0000,45,3.2113,121.09,48932,49056
3208.0000,45,3.2113,121.09,51560,51685
3222.0000,45,3.2113,121.09,47015,47139
3236.0000,45,3.2113,121.09,47486,47610
3250.0000,45,3.2113,121.09,56620,56744
3264.0000,45,3.2113,121.09,63063,63187
3278.0000,45,3.2113,121.09,64396,64520
3292.0000,45,3.2113,121.09,62330,62455
3306.0000,45,3.2113,121.09,60830,60954
3320.0000,45,3.2113,121.09,60628,60752
3334.0000,45,3.2113,121.09,60460,60584
3348.0000,45,3.2113,121.09,58941,59065
3362.0000,45,3.2113,121.09,52002,52127
3376.0000,45,3.2113,121.09,49308,49433
3390.0000,45,3.2113,121.09,53594,53719
3404.0000,45,3.2113,121.09,54566,54691
3418.0000,45,3.2113,121.09,55174,55298
3432.0000,45,3.2113,121.09,56135,56259
3446.0000,45,3.2113,121.09,57121,57245
3460.0000,45,3.2113,121.09,57778,57902
3474.0000,45,3.2113,121.09,58794,58918
3488.0000,45,3.2113,121.09,60924,61048
3502.0000,45,3.2113,121.09,62157,62281
3516.0000,45,3.2113,121.09,60855,60979
3530.0000,45,3.2113,121.09,58072,58197
3544.0000,45,3.2113,121.09,62032,62157
3558.0000,45,3.2113,121.09,57801,57925
