# UVIS G280 Simulation, broadband = 200.0-800.0nm, spectroscopic in 30.0nm bins
# Credit: H.R. Wakeford, Citation: Wakeford et al. (2020, AJ)
# H41_ETC_default with an exposure time of 190 and 2 orbits in transit/eclipse for 2 transits/eclipses
# Wavelength (nm), bin size (nm), transit/eclipse precision (ppm), program precision (ppm)
       500, 300.00000,  37.94149,  26.82869
       216,  15.78947, 295.95087, 209.26887
       247,  15.78947, 277.96907, 196.55381
       279,  15.78947, 197.18541, 139.43114
       311,  15.78947, 153.73879, 108.70974
       342,  15.78947, 147.58448, 104.35799
       374,  15.78947, 144.97002, 102.50928
       405,  15.78947, 124.79807,  88.24556
       437,  15.78947, 121.29821,  85.77079
       468,  15.78947, 125.10612,  88.46339
       500,  15.78947, 132.35684,  93.59042
       532,  15.78947, 145.40404, 102.81618
       563,  15.78947, 149.54480, 105.74414
       595,  15.78947, 163.94649, 115.92768
       626,  15.78947, 174.14537, 123.13937
       658,  15.78947, 190.71845, 134.85831
       689,  15.78947, 211.55995, 149.59548
       721,  15.78947, 230.57911, 163.04405
       753,  15.78947, 266.62111, 188.52960
       784,  15.78947, 305.33779, 215.90642
