# UVIS G280 Simulation, broadband = 200.0-800.0nm, spectroscopic in 10.0nm bins
# Credit: H.R. Wakeford, Citation: Wakeford et al. (2020, AJ)
# H41_ETC_default_1s with an exposure time of 1 and 2 orbits in transit/eclipse for 2 transits/eclipses
# Wavelength (nm), bin size (nm), transit/eclipse precision (ppm), program precision (ppm)
       500, 300.00000, 258.69698, 182.92639
       205,   5.08475,6406.99819,4530.43187
       215,   5.08475,3262.88376,2307.20723
       225,   5.08475,3026.41399,2139.99785
       236,   5.08475,3626.10695,2564.04481
       246,   5.08475,2813.51270,1989.45391
       256,   5.08475,3479.67351,2460.50073
       266,   5.08475,2440.73641,1725.86127
       276,   5.08475,3131.49864,2214.30392
       286,   5.08475,2116.19118,1496.37313
       297,   5.08475,1931.22958,1365.58553
       307,   5.08475,1817.20379,1284.95713
       317,   5.08475,1848.31832,1306.95842
       327,   5.08475,1707.37731,1207.29807
       337,   5.08475,1831.76950,1295.25664
       347,   5.08475,1823.13294,1289.14966
       358,   5.08475,1913.05959,1352.73741
       368,   5.08475,1810.03471,1279.88782
       378,   5.08475,1732.98431,1225.40495
       388,   5.08475,1617.97988,1144.08454
       398,   5.08475,1593.76367,1126.96110
       408,   5.08475,1372.87875, 970.77187
       419,   5.08475,1435.05498,1014.73711
       429,   5.08475,1513.13697,1069.94941
       439,   5.08475,1410.17623, 997.14517
       449,   5.08475,1490.49002,1053.93560
       459,   5.08475,1497.28418,1058.73980
       469,   5.08475,1514.67969,1071.04028
       480,   5.08475,1435.76807,1015.24134
       490,   5.08475,1621.80369,1146.78839
       500,   5.08475,1629.42558,1152.17788
       510,   5.08475,1651.75251,1167.96540
       520,   5.08475,1617.75497,1143.92551
       531,   5.08475,1760.11989,1244.59271
       541,   5.08475,1776.87372,1256.43946
       551,   5.08475,1801.78577,1274.05494
       561,   5.08475,1723.65236,1218.80627
       571,   5.08475,1879.67228,1329.12902
       581,   5.08475,1915.49934,1354.46257
       592,   5.08475,1844.38381,1304.17630
       602,   5.08475,2021.27586,1429.25787
       612,   5.08475,2083.22872,1473.06516
       622,   5.08475,2131.14481,1506.94694
       632,   5.08475,2039.96407,1442.47243
       642,   5.08475,2245.74112,1587.97877
       653,   5.08475,2354.25406,1664.70901
       663,   5.08475,2379.49828,1682.55937
       673,   5.08475,2273.99430,1607.95679
       683,   5.08475,2510.84912,1775.43844
       693,   5.08475,2582.66444,1826.21954
       703,   5.08475,2668.87138,1887.17705
       714,   5.08475,2595.75014,1835.47253
       724,   5.08475,2882.48219,2038.22270
       734,   5.08475,2987.84504,2112.72549
       744,   5.08475,3112.59802,2200.93917
       754,   5.08475,3023.83771,2138.17615
       764,   5.08475,3403.86368,2406.89509
       775,   5.08475,3591.16551,2539.33748
       785,   5.08475,3549.01605,2509.53332
       795,   5.08475,4015.87584,2839.65304
