# version = 29.1.1, Request ID = WFC3UVIS.sp.1486056
# HAT-P-41, Vmag = 11.4, exptime = 1s, Teff = 6500K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1850.0000,45,0.01355,0.51093,0,0.52448
1864.0000,45,0.01355,0.51093,0,0.52448
1878.0000,45,0.01355,0.51093,0,0.52448
1892.0000,45,0.01355,0.51093,0,0.52448
1906.0000,45,0.01355,0.51093,0,0.52448
1920.0000,45,0.01355,0.51093,0,0.52448
1934.0000,45,0.01355,0.51093,0,0.52448
1948.0000,45,0.01355,0.51093,0,0.52448
1962.0000,45,0.01355,0.51093,0,0.52448
1976.0000,45,0.01355,0.51093,0,0.52448
1990.0000,45,0.01355,0.51093,0,0.52448
2004.0000,45,0.01355,0.51093,21.267,21.792
2018.0000,45,0.01355,0.51093,25.311,25.836
2032.0000,45,0.01355,0.51093,29.937,30.461
2046.0000,45,0.01355,0.51093,37.2,37.725
2060.0000,45,0.01355,0.51093,34.504,35.029
2074.0000,45,0.01355,0.51093,46.545,47.069
2088.0000,45,0.01355,0.51093,64.393,64.917
2102.0000,45,0.01355,0.51093,82.693,83.218
2116.0000,45,0.01355,0.51093,105.81,106.33
2130.0000,45,0.01355,0.51093,97.415,97.939
2144.0000,45,0.01355,0.51093,120.97,121.5
2158.0000,45,0.01355,0.51093,131.19,131.71
2172.0000,45,0.01355,0.51093,128.84,129.36
2186.0000,45,0.01355,0.51093,161.72,162.24
2200.0000,45,0.01355,0.51093,170.6,171.13
2214.0000,45,0.01355,0.51093,136.52,137.04
2228.0000,45,0.01355,0.51093,161.27,161.8
2242.0000,45,0.01355,0.51093,187.72,188.25
2256.0000,45,0.01355,0.51093,143.69,144.22
2270.0000,45,0.01355,0.51093,152.8,153.33
2284.0000,45,0.01355,0.51093,192.65,193.18
2298.0000,45,0.01355,0.51093,186.84,187.37
2312.0000,45,0.01355,0.51093,192.74,193.26
2326.0000,45,0.01355,0.51093,161.76,162.28
2340.0000,45,0.01355,0.51093,90.371,90.896
2354.0000,45,0.01355,0.51093,126.06,126.59
2368.0000,45,0.01355,0.51093,93.01,93.534
2382.0000,45,0.01355,0.51093,74.256,74.78
2396.0000,45,0.01355,0.51093,70.882,71.406
2410.0000,45,0.01355,0.51093,86.453,86.977
2424.0000,45,0.01355,0.51093,165.78,166.3
2438.0000,45,0.01355,0.51093,197.44,197.96
