R_p_ref T log_TiO
1.259072065603650925e+00 1.264165912639477483e+03 -6.410457137823241780e+00
1.207908570957868299e+00 2.695462089183040916e+03 -3.471776093830749588e+00
1.281926918350475120e+00 2.353091371254270143e+03 -9.858441496409813709e+00
1.268070226577560300e+00 2.101950902913814389e+03 -1.028561929662832952e+01
1.286051126605272543e+00 2.280951857566833496e+03 -1.088936340808868408e+01
1.276514888187338714e+00 1.046717287338454980e+03 -4.991061348414198129e+00
1.249302134528344155e+00 1.243801910570153950e+03 -3.596163811924293796e+00
1.279958005139838262e+00 1.153347263073405429e+03 -6.594564319184863521e+00
1.230727123517763255e+00 1.938719227580481402e+03 -3.938957133687699397e+00
1.229574133551923909e+00 2.572715806625697951e+03 -3.998371996709870757e+00
1.281119063892433463e+00 2.461487419336103812e+03 -9.950683739877373313e+00
1.268677438506003341e+00 1.095127933098555786e+03 -3.057934935714323288e+00
1.284877587890409512e+00 2.538262386964098823e+03 -1.112376830410675232e+01
1.243213854818138175e+00 2.779547750202974385e+03 -6.163506902343629079e+00
1.232633756955500148e+00 2.059028762240743163e+03 -4.804843722959119212e+00
1.229034728207763383e+00 2.034004721170435914e+03 -2.746866516472572073e+00
1.270787027343172948e+00 2.710312245739504306e+03 -8.941147288400014048e+00
1.218403894201453230e+00 2.937596969972082661e+03 -2.144945933709752950e+00
1.205954609069078920e+00 2.959394144265348132e+03 -2.712888942845054885e+00
1.255220051810016946e+00 1.553647817228332769e+03 -3.577895026799884803e+00
1.287184095406908035e+00 1.423822436672338881e+03 -1.109354643552777020e+01
1.284890121063773982e+00 2.438001317329619269e+03 -1.131602853550265309e+01
1.271659894226929488e+00 2.250181288378061254e+03 -1.144304559643967423e+01
1.263581031195566196e+00 1.927002137546781796e+03 -8.815460302588789432e+00
1.232632706417775559e+00 2.240308861350159077e+03 -2.633294409737581887e+00
1.252112102738023092e+00 2.420292258262634277e+03 -6.400828480720520020e+00
1.251431458495008364e+00 1.737908376307003891e+03 -2.005637713013976864e+00
1.256235840660300473e+00 2.814740990880720346e+03 -9.200823655294513514e+00
1.273764749669180407e+00 1.690059154460965829e+03 -1.050835672512167207e+01
1.263820566723793171e+00 1.613353938206344992e+03 -5.607184052319621692e+00
1.248421956165199687e+00 1.881872323397107039e+03 -6.465163943393869239e+00
1.286354810573617335e+00 1.025752495114817748e+03 -9.215174040975149694e+00
1.265659181869030370e+00 1.942410826683044434e+03 -9.133994102478027344e+00
1.267866717698576950e+00 1.120582397552954035e+03 -3.572536193275693606e+00
1.232431913277507007e+00 2.289592027664184570e+03 -5.510954976081848145e+00
1.260957246190505643e+00 1.357882302865623160e+03 -3.678376849784200431e+00
1.242510778646445324e+00 1.686161172778067794e+03 -4.694611079029586520e+00
1.233542425149955823e+00 2.302898392960805268e+03 -5.686455311973980464e+00
1.234809696368694087e+00 1.801986031284146975e+03 -3.355120625840019244e+00
1.250118708144497770e+00 2.367515370908320619e+03 -7.840568997645894100e+00
1.264476326169734710e+00 1.180941692682068606e+03 -2.339981577616336850e+00
1.272639680644356286e+00 1.666831762725616500e+03 -7.385352625544096661e+00
1.257204190767325702e+00 1.976452313860087543e+03 -7.931599441716138621e+00
1.223831648519635440e+00 2.259535670280456543e+03 -2.833639502525329590e+00
