R_p_ref T log_TiO
1.267493079510293219e+00 1.814740620862150990e+03 -8.052859089965787476e+00
1.263526794683774934e+00 1.422937297684726445e+03 -7.091365826135568540e+00
1.247740979690289631e+00 2.738232242308682544e+03 -6.449654789876872130e+00
1.271392519838796531e+00 1.263304196988153080e+03 -6.945395975086970708e+00
1.271412517764206829e+00 1.092322796775529014e+03 -4.745397425241682399e+00
1.243716199598966510e+00 2.173369109799439684e+03 -6.300451543691357514e+00
1.268230525424676625e+00 1.123740616594268204e+03 -6.531087927286225003e+00
1.267750382391781061e+00 1.298964369344306306e+03 -6.911661049026157855e+00
1.230414097501884019e+00 2.593600415561385034e+03 -5.274635346559047200e+00
1.255435522696376038e+00 2.724654674530029297e+03 -7.660545825958251953e+00
1.255828018764339804e+00 1.081445981152807008e+03 -2.862020271589916121e+00
1.265291602787304015e+00 1.532390336032195592e+03 -7.218595496171129611e+00
1.263967702895289591e+00 1.816225588130066853e+03 -7.551371144291882054e+00
1.269703990812882655e+00 1.030676601929998924e+03 -6.003552455074659733e+00
1.233076848144545545e+00 2.992645873141289030e+03 -6.660947148396246575e+00
1.268997956860741905e+00 1.289495065157996805e+03 -5.819944489531317267e+00
1.266419788560271487e+00 1.319330453872680664e+03 -4.918215394020080566e+00
1.269481932664810575e+00 1.217699088439655043e+03 -5.492141721411892163e+00
1.264669489955651205e+00 1.668023788062359472e+03 -7.269838746659784690e+00
1.251817924746613686e+00 1.999885161539489673e+03 -5.030275213474419083e+00
1.240831688734392868e+00 1.805418504236223498e+03 -2.230257939411854906e+00
1.239368544842959219e+00 2.952983545496826991e+03 -6.123919786480449545e+00
1.261650361347956828e+00 2.000947197726126660e+03 -7.573675911460230559e+00
1.239602141694208459e+00 2.330977593545126183e+03 -5.943799125720460097e+00
1.246750583114406563e+00 2.863242364546034878e+03 -7.806470596409178064e+00
1.246259543208440235e+00 1.910402322588455263e+03 -5.679701434530993076e+00
1.232459323025196785e+00 2.171938179941264934e+03 -2.883427191644759802e+00
1.269024080229203211e+00 1.209301970407520912e+03 -5.914709243841870467e+00
1.264158744004796109e+00 1.623068763083811973e+03 -7.000935385545520973e+00
1.252536114390909505e+00 2.811337627509040431e+03 -8.064697821495792951e+00
1.263776336830842117e+00 1.436882668640629618e+03 -6.608713460477112278e+00
1.237819226260725047e+00 2.928603545543224755e+03 -7.023803825201777151e+00
1.247246291296698395e+00 2.087786589105308849e+03 -6.364100337647914607e+00
1.259061837446566079e+00 1.119407802609330020e+03 -4.269825773173267613e+00
1.261493639966488223e+00 1.381673350186879816e+03 -3.858691863753858087e+00
1.249410927963734430e+00 1.434390996971971163e+03 -3.960466363794324707e+00
1.248041657255141601e+00 1.695097825617123362e+03 -5.107285025124442157e+00
1.249325500512065590e+00 1.718098420965231753e+03 -5.445324874647438307e+00
1.258618277078860315e+00 1.459515493036613407e+03 -5.990022941993228933e+00
1.259723898972659573e+00 2.005060633933590907e+03 -7.425735255447011518e+00
1.258173692097076746e+00 1.485693395393038827e+03 -3.630341164129101017e+00
1.233541401478112531e+00 2.193665399276772405e+03 -2.848138700960113567e+00
1.234891628559061427e+00 2.054439810000856596e+03 -2.492793261797931592e+00
1.251535295822019389e+00 2.846248450959351430e+03 -7.998046781442827324e+00
1.246076015455238828e+00 2.494773281618255169e+03 -7.112202111789807546e+00
1.241120485781845861e+00 2.676304297792714351e+03 -5.778238570498976046e+00
1.238448186694252273e+00 2.521380530852475204e+03 -6.211972479330104768e+00
1.230641826140647321e+00 2.612302535205943968e+03 -2.021885237903525478e+00
1.252657524318096405e+00 2.815621426246475494e+03 -7.951639996171576463e+00
1.251280877745335696e+00 2.548335248414154194e+03 -7.672462921502249955e+00
1.231992257493058407e+00 2.464003819599630333e+03 -2.064149318890132534e+00
1.235961202647623214e+00 2.465576132295002026e+03 -4.785357239604716817e+00
1.238731647691739601e+00 2.415692748294224657e+03 -4.869329351173119491e+00
1.249351539736199834e+00 2.489351012805321261e+03 -6.306758994520320627e+00
1.248290414983999508e+00 2.078090456103412635e+03 -6.428453119332022681e+00
1.261949205311637678e+00 1.818888644402144564e+03 -6.712539603232261953e+00
1.248230290127162467e+00 2.899652779948517491e+03 -7.880616763400587033e+00
1.252243901647806190e+00 2.057756058299029519e+03 -5.451300637479696398e+00
1.246383191250435507e+00 2.754984306229840058e+03 -6.548636079039635405e+00
1.245084031426280102e+00 2.456380368084703150e+03 -6.910497277994596566e+00
1.240274052424805484e+00 2.816700401363805213e+03 -7.051271027194875529e+00
1.235177407386443882e+00 2.140618645753262172e+03 -3.095777800507843125e+00
1.255865684702567986e+00 1.301283290422710252e+03 -4.615910323565410422e+00
1.250745504929167140e+00 2.115005121163841977e+03 -6.823389403917999196e+00
1.257249456683233291e+00 1.470309795046698127e+03 -2.882028006934911346e+00
1.232654335680549273e+00 2.640176909181280280e+03 -2.041780076857339310e+00
1.234504902374907065e+00 2.136219504236711145e+03 -2.913930850997527244e+00
1.249544761878631505e+00 1.781134745049909725e+03 -5.653787295876616881e+00
1.258115897139619355e+00 2.051156898242459192e+03 -6.584583197893831397e+00
1.251811412496145248e+00 2.824969033835723167e+03 -7.904380074903373909e+00
1.243682029888968144e+00 2.074371029140253540e+03 -4.205347344584421165e+00
1.259739224548052317e+00 2.002112490907304164e+03 -6.896449106732445600e+00
1.245314676768288109e+00 1.527858221974003300e+03 -2.869256117477805290e+00
1.236182887117576845e+00 2.428207390103944817e+03 -5.523597336902080102e+00
1.251084549578189264e+00 2.924347319598139620e+03 -7.934870592154824820e+00
1.252284329544860464e+00 1.468870976091003058e+03 -4.759969285556688412e+00
1.233105725707949185e+00 2.514724803809177956e+03 -2.133501586455128773e+00
1.267011835557587229e+00 1.103146605064121786e+03 -2.275291533394689480e+00
1.237578731587995806e+00 2.998902930206346355e+03 -6.163940465641830180e+00
1.263397180291807143e+00 1.570321598520497218e+03 -6.606199293374957371e+00
1.243644732391656849e+00 2.804744777646922103e+03 -7.352098150187816650e+00
1.266795959040987185e+00 1.089555921592733512e+03 -2.431204697057868458e+00
1.254306510311176792e+00 1.246741295086925220e+03 -3.772925020587894807e+00
1.247806515613213207e+00 1.586524638854569048e+03 -4.389092078035718103e+00
1.234657820355100633e+00 2.352941470130335347e+03 -2.288897965702503257e+00
1.253343265070074430e+00 2.669225756246566561e+03 -7.763151163377445485e+00
1.250105872652723438e+00 1.784435389026225948e+03 -3.788115988825989433e+00
1.257983074388860700e+00 1.937633958582628566e+03 -6.152616285754278103e+00
1.264982142376089636e+00 1.405865897678831516e+03 -6.241224990660846572e+00
1.258562328594729829e+00 1.813529929354835986e+03 -5.779473352942394726e+00
1.266536210442977595e+00 1.173482165448658861e+03 -5.613985466002396230e+00
1.249805071579745075e+00 1.753756746371948793e+03 -2.645840132973784620e+00
1.232291890146205215e+00 2.463390436123587278e+03 -2.145891085682658073e+00
1.258109017624748027e+00 1.656149402611599271e+03 -6.456566268837377720e+00
1.263536240338176464e+00 1.594808774668996193e+03 -6.483756449769600749e+00
1.261469369561417420e+00 1.241399282383845502e+03 -5.330782109711157624e+00
1.266147807514667711e+00 1.179995775222778320e+03 -5.624613285064697266e+00
1.262716997882001202e+00 1.223231599847755433e+03 -5.430918740233398267e+00
1.234101701996437539e+00 2.499688006430617861e+03 -5.249698924818897439e+00
1.234133958264026942e+00 2.590346683254719210e+03 -2.034820499118497494e+00
1.237089283867896183e+00 2.682234881656991092e+03 -6.335433313678094258e+00
1.266116641078258720e+00 1.301802678745397543e+03 -5.853969158395834427e+00
1.260881110945578865e+00 1.422016811119497106e+03 -5.999488889820616677e+00
1.249602135962248006e+00 2.316358566284179688e+03 -5.931690454483032227e+00
1.253534002501817124e+00 1.676696701216927295e+03 -5.873285494687580766e+00
1.257850142234036683e+00 1.431274293049429161e+03 -5.589345498971098003e+00
1.260869179672129192e+00 1.455049650731767770e+03 -4.488338823923010423e+00
1.250160703847368104e+00 1.457199187382112996e+03 -4.140933883212366773e+00
1.242586269416078748e+00 2.673290176808529395e+03 -6.997305363232941389e+00
1.236107168925433930e+00 2.059029450577820626e+03 -2.369442615771021110e+00
1.257720423810495092e+00 1.326342122228295011e+03 -5.066756683678155682e+00
1.261719033677546564e+00 1.710486459386491333e+03 -6.754883327189432407e+00
1.252003687930377085e+00 1.814323519912412621e+03 -4.437900246910134072e+00
1.236483107526598291e+00 2.416347558025609942e+03 -4.787084759631190956e+00
1.250158458792985705e+00 2.917923304637692127e+03 -7.517430193970842112e+00
