# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr  4 16:08:10 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
# COLUMN st_nspec:       Number of Stellar Spectra Measurements
# COLUMN pl_ntranspec:   Number of Transmission Spectroscopy Measurements
#
loc_rowid,pl_name,hostname,pl_letter,discoverymethod,pl_orbper,pl_radj,pl_massj,pl_dens,pl_eqt,pl_ratror,rowupdate,pl_pubdate,releasedate,st_nspec,pl_ntranspec
1,11 Com b,11 Com,b,Radial Velocity,,,,,,,2014-07-23,2011-08,2014-07-23,0,0
2,11 Com b,11 Com,b,Radial Velocity,326.03000000,,,,,,2014-05-14,2008-01,2014-05-14,0,0
3,11 UMi b,11 UMi,b,Radial Velocity,516.22000000,,,,,,2018-04-25,2009-10,2014-05-14,0,0
4,11 UMi b,11 UMi,b,Radial Velocity,,,,,,,2018-04-25,2011-08,2014-07-23,0,0
5,11 UMi b,11 UMi,b,Radial Velocity,516.21997000,,,,,,2018-09-04,2017-03,2018-09-06,0,0
6,14 And b,14 And,b,Radial Velocity,,,,,,,2014-07-23,2011-08,2014-07-23,0,0
7,14 And b,14 And,b,Radial Velocity,185.84000000,,,,,,2014-05-14,2008-12,2014-05-14,0,0
8,14 Her b,14 Her,b,Radial Velocity,,,,,,,2018-04-25,2006-07,2014-08-21,1,0
9,14 Her b,14 Her,b,Radial Velocity,1796.40000000,,,,,,2018-04-25,2004-01,2014-08-21,1,0
10,14 Her b,14 Her,b,Radial Velocity,1724.00000000,,,,,,2018-04-25,2003-01,2014-08-21,1,0
11,14 Her b,14 Her,b,Radial Velocity,1766.00000000,,,,,,2018-04-25,2008-04,2014-08-21,1,0
12,14 Her b,14 Her,b,Radial Velocity,1773.40000000,,,,,,2018-04-25,2007-01,2014-05-14,1,0
13,14 Her b,14 Her,b,Radial Velocity,1773.40002000,,,,,,2018-09-04,2017-03,2018-09-06,1,0
14,16 Cyg B b,16 Cyg B,b,Radial Velocity,799.50000000,,,,,,2018-04-25,2007-09,2014-09-18,3,0
15,16 Cyg B b,16 Cyg B,b,Radial Velocity,798.50000000,,,,,,2018-09-04,2017-03,2018-09-06,3,0
16,16 Cyg B b,16 Cyg B,b,Radial Velocity,800.80000000,,,,,,2018-04-25,1997-07,2014-08-21,3,0
17,16 Cyg B b,16 Cyg B,b,Radial Velocity,799.50000000,,,,,,2018-04-25,2007-01,2014-09-18,3,0
18,16 Cyg B b,16 Cyg B,b,Radial Velocity,798.50000000,,,,,,2018-04-25,2006-07,2015-09-10,3,0
19,18 Del b,18 Del,b,Radial Velocity,993.30000000,,,,,,2014-05-14,2008-06,2014-05-14,0,0
20,18 Del b,18 Del,b,Radial Velocity,,,,,,,2014-07-23,2011-08,2014-07-23,0,0
21,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Imaging,,,8.00000,,1700,,2015-04-01,2015-03,2015-04-01,0,0
22,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Imaging,,,12.00000,,1700,,2015-04-01,2015-03,2015-04-01,0,0
