#Wlow,Wup,Depth,ErrUp,ErrLow,Instrument,Offeset?
2210.0,2410.0,13017.895989789386,582.27798,582.27798,JWST,NO
2420.0,2620.0,12765.497209076699,515.17517,515.17517,JWST,NO
2620.0,2820.0,13272.815111273358,380.43043,380.43043,JWST,NO
2830.0,3030.0,13147.895211366314,267.01265,267.01265,JWST,NO
3040.0,3240.0,12838.111828831354,231.12249,231.12249,JWST,NO
3240.0,3440.0,13132.947208532347,219.22314,219.22314,JWST,NO
3450.0,3650.0,12719.978401161707,231.04123,231.04123,JWST,NO
3660.0,3860.0,12900.451589989989,222.98132,222.98132,JWST,NO
3870.0,4070.0,12517.295655365373,200.91881,200.91881,JWST,NO
4070.0,4270.0,13180.159138020057,179.45066,179.45066,JWST,NO
4280.0,4480.0,13155.089075803482,185.09694,185.09694,JWST,NO
4490.0,4690.0,13203.347367397582,180.79125,180.79125,JWST,NO
4690.0,4890.0,13329.065556389554,178.46734,178.46734,JWST,NO
4900.0,5100.0,13032.558472407896,185.95875,185.95875,JWST,NO
5110.0,5310.0,13438.575204614186,197.13205,197.13205,JWST,NO
5310.0,5510.0,13365.98305851339,207.5177,207.5177,JWST,NO
5520.000000000001,5720.000000000001,13698.605844219277,206.04572,206.04572,JWST,NO
5730.0,5930.0,13400.405574490482,213.13625,213.13625,JWST,NO
5930.0,6130.0,13246.76201915961,223.20683,223.20683,JWST,NO
6140.0,6340.0,13107.319397045168,235.05888,235.05888,JWST,NO
6350.0,6550.0,13354.887288054551,254.80085,254.80085,JWST,NO
6560.0,6760.0,12989.814631525542,259.99121,259.99121,JWST,NO
6760.000000000001,6960.000000000001,13233.781675738051,273.17725,273.17725,JWST,NO
6970.0,7170.0,13649.694633689807,291.47768,291.47768,JWST,NO
7180.0,7380.0,13412.041754737445,324.12501,324.12501,JWST,NO
7380.0,7580.0,13772.149674299877,337.24444,337.24444,JWST,NO
7590.0,7790.0,13234.560622926834,370.34446,370.34446,JWST,NO
7800.0,8000.0,13755.325356114321,412.79446,412.79446,JWST,NO
