# wav(Å) depth(ppm) depth_unc(ppm)
5.500000000000000000e+03 1.379126335482157265e+04 2.212003376706279028e+02
5.700000000000000000e+03 1.329127311326311610e+04 3.144802740174750397e+02
5.892899999999999636e+03 1.346710481256056119e+04 2.983407708210158376e+02
6.085800000000000182e+03 1.315245323730353812e+04 3.162055426413485293e+02
6.755000000000000000e+03 1.332834150366914946e+04 2.435007181438916462e+02
6.955000000000000000e+03 1.371068885028239129e+04 2.295774278296535158e+02
7.155000000000000000e+03 1.357617180938201273e+04 2.338597355620664189e+02
7.355000000000000000e+03 1.384853712320764134e+04 1.829819002159247816e+02
7.555000000000000000e+03 1.324341072715996052e+04 2.395268220602436315e+02
7.682000000000000000e+03 1.299228376444907735e+04 3.026852087800642721e+02
7.809000000000000000e+03 1.344613632009554385e+04 2.261602965652651847e+02
8.009000000000000000e+03 1.302804722219673931e+04 2.383838928830836039e+02
8.189000000000000000e+03 1.285643572922685416e+04 2.205459943380080290e+02
8.369000000000000000e+03 1.306036624676759311e+04 2.030782740362890877e+02
8.569000000000000000e+03 1.274830718371007060e+04 2.232772834957318082e+02
8.769000000000000000e+03 1.269865140668214735e+04 2.189473429039789778e+02
8.969000000000000000e+03 1.273031392292445889e+04 2.258608556144703527e+02
